,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
2802,2802,spotify:track:3qcbdFslrw2uio8gPVVLuM,Night Lamp,Jhove,67,9582,(),Cozy Winter,51,0.831,0.16,-14.574,111.984,135000
2803,2803,spotify:track:6jjpHma6BEh62xBJeasFyf,Hometown Cafe,Vens Adams,45,1312,(),Hometown Cafe,51,0.652,0.347,-9.645,76.988,155844
2804,2804,spotify:track:0GyZq3mNQYAPDTWJUVWB4V,Through the fields,Bamboozled Bumblebee,43,15,(),Through the fields,54,0.821,0.0579,-17.205,119.942,176000
2805,2805,spotify:track:2FQeoy9i7ZQsFrXEdIq0t3,with you,hope mona,43,53,(),foggy afternoons,44,0.46,0.146,-18.868,69.22,178286
2806,2806,spotify:track:53fRXKyA5gszPQS4kyEstO,Context,Widefoot,30,4,(),Lush Lines,44,0.804,0.189,-10.716,115.063,118207
2807,2807,spotify:track:0hBg3ymrkGMAghPlk2L7ii,Follow Me,fox,50,527,(),Follow Me,56,0.473,0.0711,-18.657,177.904,102472
2808,2808,spotify:track:21NHuCeoEJ76SVggMgNsNw,5am in cairo,"oh, the joy.",62,3537,"('sleep',)",5am in cairo,49,0.758,0.191,-15.904,113.972,177288
2809,2809,spotify:track:3CMzipkTzyGP4g0YaEeuNd,eons away,santpoort,50,8263,"('chillhop', 'lo-fi beats')",ocean tales,55,0.711,0.585,-9.498,162.955,152901
2810,2810,spotify:track:0pUYzh1ywTsyy25UoZTuTG,Babbling Brook,rsbd,38,10,(),Babbling Brook,53,0.609,0.241,-15.286,170.083,151824
2811,2811,spotify:track:6iDThqdBhVmWXoMsXIw0XV,books & backpacks,suburban sad,27,7,(),books & backpacks,41,0.39,0.254,-18.375,119.653,136000
2812,2812,spotify:track:3GRTUabfguVlwCQmU3W7ps,Excellent,Miki Maou,27,10,(),Excellent,42,0.778,0.256,-16.845,138.08,160000
2813,2813,spotify:track:0rNTOI1K11CSPTj3dvq1tU,Breeze 52,Pluto Tracks,31,49,(),Breeze 52,45,0.748,0.141,-18.144,158.001,118481
2814,2814,spotify:track:0qgXZF5hTjzDwDPlA6HpnU,Euphoria,Devon Rea,58,1242,"('focus beats', 'lo-fi beats', 'lo-fi jazzhop')",Warm Nights,53,0.557,0.226,-20.854,164.073,140488
2815,2815,spotify:track:5ULfgK782GmbzTvb0E3Bf7,no new messages,foursite,28,31,(),no new messages,42,0.555,0.259,-17.264,123.11,136585
2816,2816,spotify:track:4DEHwA8wStG2BQraOkuFLB,Freshair,Carborator,26,9,(),Freshair,41,0.676,0.249,-10.048,79.961,171000
2817,2817,spotify:track:5kIsqbXbUNwaxQH1anoJ64,In Limbo & Loving It,colours in the dark,61,3722,(),In Limbo & Loving It,55,0.697,0.154,-21.639,99.981,163800
2818,2818,spotify:track:6nqOGykFeVWsM3Okw3V73C,Floating Between,Obie Hans,49,525,"('lo-fi jazzhop',)",Floating Between,47,0.643,0.284,-15.849,83.008,161039
2819,2819,spotify:track:4faneCEP0jeHgrp8N0mLf4,soft as water,mashhha,26,12,(),soft as water,41,0.727,0.45,-12.014,129.995,150837
2820,2820,spotify:track:7zmnH5VY7m2TDJjMnr1g7k,Cereal,Lightbulb Factory,30,39,(),Rumble,44,0.844,0.15,-12.933,83.999,211429
2821,2821,spotify:track:3R842HhIJd4VysNmcRApE0,Fireflies,Kanisan,65,4571,(),3 Am. Study Session,53,0.651,0.125,-20.281,78.015,123077
2822,2822,spotify:track:6OyPiy5eWajl56cC6Em7no,u make me,Fractite,46,867,"('chill beats',)",u make me,50,0.688,0.155,-19.653,69.994,122000
2823,2823,spotify:track:3zB9poibhdiyIGVR9BSzXm,Monday Blues,Wasted Glitter,45,20,(),Monday Blues,47,0.569,0.199,-10.317,74.939,134400
2824,2824,spotify:track:6xCrkGWiatvVdJjma5yAzz,Sauna,Ho-Sook,26,4,(),Sauna,41,0.519,0.073,-24.715,152.514,141951
